id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.42334E+18,1.42334E+18,2021-08-05 18:39:06 Morocco Daylight Time,8/5/2021,6:39:06 PM,100,8.88139E+17,samira20650322,Samira,,"RT @samyra75: Il y a 10 jours, j’appelle ma mère (qui est en voyage Maroc avec mon père et ma soeur.. je précise ma soeur est infirmière c’…",fr,"[{'screen_name': 'samyra75', 'name': 'samyra', 'id': '217220148'}]",[],[],0,1,0,[],[],https://twitter.com/Samira20650322/status/1423337783695904771,TRUE,,0,,,,,217220148,"Il y a 10 jours, j’appelle ma mère (qui est en voyage Maroc avec mon père et ma soeur.. je précise ma soeur est infirmière c’est important pour la suite de l’histoire et tous sont vaccinés), je lui dis maman arrête de recevoir des gens à la maison.  #Covid #Maroc https://t.co/2HheOdpHtF",1.4233E+18,[],2021-08-05 15:50:26 Morocco Daylight Time,,,
1.42331E+18,1.42331E+18,2021-08-05 17:07:30 Morocco Daylight Time,8/5/2021,5:07:30 PM,100,1163595008,erkha64,erkha64,,RT @nathmaza: C'est beau  Un marocain offre des générateurs d'oxygène pour les hôpitaux d' #Algerie  Merci Monsieur  Baraka Allahou Fik  #M…,fr,"[{'screen_name': 'nathmaza', 'name': 'mohamed nathmaza 🇵🇸', 'id': '776159941'}]",[],[],0,1,0,['algerie'],[],https://twitter.com/erkha64/status/1423314733051125760,TRUE,https://twitter.com/lafriqueadulte/status/1422923477716279299,0,,,,,776159941,"C'est beau 
Un marocain offre des générateurs d'oxygène pour les hôpitaux d' #Algerie 
Merci Monsieur 
Baraka Allahou Fik 
#Maroc #Algerie ♥️♥️♥️
#COVID",1.42329E+18,[],2021-08-05 15:38:17 Morocco Daylight Time,,,
1.42291E+18,1.42291E+18,2021-08-04 14:18:33 Morocco Daylight Time,8/4/2021,2:18:33 PM,100,3989854966,gaellem15,gaëlle15,,RT @Laissonslespre1: La carabinade du jour...  #COVID19 #COVIDVaccination #CovidVaccine #COVID #censure #vaccins #traitementprécoce #Europe…,fr,"[{'screen_name': 'laissonslespre1', 'name': 'laissonslesprescrire', 'id': '1244280931357208585'}]",[],[],0,105,0,"['covid19', 'covidvaccination', 'covidvaccine', 'covid', 'censure', 'vaccins', 'traitementprécoce', 'europe']",[],https://twitter.com/Gaellem15/status/1422909827240632329,TRUE,https://twitter.com/cab2626/status/1411726466652508164,0,,,,,1.24428E+18,"La carabinade du jour... 
#COVID19 #COVIDVaccination #CovidVaccine #COVID #censure #vaccins #traitementprécoce #Europe #ENG #FRA #BEL #SUI #ESP #CZEDEN #Canadiens #GER #ITA #CZE #SWE #Netherlands #Luxembourg #Corona #VariantDelta #Delta #AustrianGP #Algerie #Maroc iver-mect-ine",1.41181E+18,[],2021-07-04 23:30:15 Morocco Daylight Time,,,
1.42288E+18,1.42288E+18,2021-08-04 12:26:09 Morocco Daylight Time,8/4/2021,12:26:09 PM,100,822763250,malouin92,🇫🇷 Monsieur Charles 🇫🇷,,RT @Laissonslespre1: La carabinade du jour...  #COVID19 #COVIDVaccination #CovidVaccine #COVID #censure #vaccins #traitementprécoce #Europe…,fr,"[{'screen_name': 'laissonslespre1', 'name': 'laissonslesprescrire', 'id': '1244280931357208585'}]",[],[],0,105,0,"['covid19', 'covidvaccination', 'covidvaccine', 'covid', 'censure', 'vaccins', 'traitementprécoce', 'europe']",[],https://twitter.com/malouin92/status/1422881537507332096,TRUE,https://twitter.com/cab2626/status/1411726466652508164,0,,,,,1.24428E+18,"La carabinade du jour... 
#COVID19 #COVIDVaccination #CovidVaccine #COVID #censure #vaccins #traitementprécoce #Europe #ENG #FRA #BEL #SUI #ESP #CZEDEN #Canadiens #GER #ITA #CZE #SWE #Netherlands #Luxembourg #Corona #VariantDelta #Delta #AustrianGP #Algerie #Maroc iver-mect-ine",1.41181E+18,[],2021-07-04 23:30:15 Morocco Daylight Time,,,
1.42285E+18,1.42285E+18,2021-08-04 10:08:20 Morocco Daylight Time,8/4/2021,10:08:20 AM,100,1015213339,pureargan,Essentials You,,RT @alejojohnson: Covid-19: Morocco 🇲🇦 waives restrictions for fully vaccinated people #Morocco #Maroc #المغرب #Africa #NorthAfrica #COVID…,en,"[{'screen_name': 'alejojohnson', 'name': 'alejo johnson', 'id': '200743587'}]",[],[],0,1,0,"['morocco', 'maroc', 'المغرب', 'africa', 'northafrica', 'covid']",[],https://twitter.com/PureArgan/status/1422846855722029056,TRUE,,0,,,,,200743587,"Covid-19: Morocco 🇲🇦 waives restrictions for fully vaccinated people
#Morocco #Maroc #المغرب #Africa #NorthAfrica #COVID #COVID19 #pandemic #curfew #Marrakech #Casablanca #Agadir  https://t.co/e4Z6BiA8ni",1.42285E+18,[],2021-08-04 10:05:29 Morocco Daylight Time,,,
1.42251E+18,1.42251E+18,2021-08-03 11:52:38 Morocco Daylight Time,8/3/2021,11:52:38 AM,100,1.36159E+18,noirafcire1973,Noiraf Ciré,,"RT @Iamfree11366936: C'est juste une épidémie de tests. #Maroc, moins de 10000 morts #covid ?! en moins de 2 ans sur 37M d'hab. et c'est re…",fr,"[{'screen_name': 'iamfree11366936', 'name': 'iamfree', 'id': '1306633815771828226'}]",[],[],0,1,0,"['maroc', 'covid']",[],https://twitter.com/NoirafCire1973/status/1422510714875518980,TRUE,,0,,,,,1.30663E+18,"C'est juste une épidémie de tests. #Maroc, moins de 10000 morts #covid ?! en moins de 2 ans sur 37M d'hab. et c'est reparti pour un tour. #couvrefeu Combien meurent de faim et par manque de soins.. tous les jours depuis des 10aines d'années? https://t.co/awYI5eqpVG",1.42242E+18,[],2021-08-03 05:52:46 Morocco Daylight Time,,,
1.42237E+18,1.42237E+18,2021-08-03 02:30:40 Morocco Daylight Time,8/3/2021,2:30:40 AM,100,1.40258E+18,yassn51560312,Yass_n,,RT @ouedlaouhomes: #Morocco #governmentnotice #المغرب #Marruecos #maroc #covid governmental advisory limiting movement between towns for un…,en,"[{'screen_name': 'ouedlaouhomes', 'name': 'oued laou', 'id': '985370736784232448'}]",[],[],0,1,0,"['morocco', 'governmentnotice', 'المغرب', 'marruecos', 'maroc', 'covid']",[],https://twitter.com/Yassn51560312/status/1422369293753270272,TRUE,,0,,,,,9.85371E+17,"#Morocco #governmentnotice #المغرب #Marruecos #maroc #covid governmental advisory limiting movement between towns for unvaccinated individuals, also bars, restaurant restrictions. Please retweet #RETWEEET https://t.co/zlyJm42g8d",1.42229E+18,[],2021-08-02 21:22:47 Morocco Daylight Time,,,
1.42235E+18,1.42235E+18,2021-08-03 01:12:29 Morocco Daylight Time,8/3/2021,1:12:29 AM,100,9.62989E+17,mcommemustapha,Mustapha ZEDIRI,,"RT @dzonline: Nombre de nouveaux cas de #covid / 100 000 habitants : 4 fois plus de cas au #Maroc,  10 fois plus de cas en #Tunisie  15 foi…",fr,"[{'screen_name': 'dzonline', 'name': 'dzonline - algérie - الجزائر - ⴷⵣⴰⵢⴻⵔ', 'id': '25677623'}]",[],[],0,2,0,"['covid', 'maroc', 'tunisie']",[],https://twitter.com/McommeMustapha/status/1422349616658452482,TRUE,,0,,,,,25677623,"Nombre de nouveaux cas de #covid / 100 000 habitants :
4 fois plus de cas au #Maroc, 
10 fois plus de cas en #Tunisie
 15 fois plus de cas en #Libye, 
qu'en #Algerie https://t.co/IhAzxU4BgN",1.42228E+18,[],2021-08-02 20:38:26 Morocco Daylight Time,,,
1.42145E+18,1.42145E+18,2021-07-31 13:23:40 Morocco Daylight Time,7/31/2021,1:23:40 PM,100,623968951,lnab1,Léna Brisset Doyle,,RT @IEMed_: 🔴 EN DIRECT avec @euromesco et @PolicyCenterNS:   Quel appui de l’#UE au #Maroc dans la généralisation de la couverture maladie…,fr,"[{'screen_name': 'iemed_', 'name': 'iemed', 'id': '304435432'}, {'screen_name': 'euromesco', 'name': 'euromesco', 'id': '1136929478981103617'}, {'screen_name': 'policycenterns', 'name': 'policy center for the new south', 'id': '2374111219'}]",[],[],0,2,0,"['ue', 'maroc']",[],https://twitter.com/LnaB1/status/1421446462714548230,TRUE,,0,,,,,304435432,"🔴 EN DIRECT avec @euromesco et @PolicyCenterNS: 

Quel appui de l’#UE au #Maroc dans la généralisation de la couverture maladie? #COVID 

👉 En français: https://t.co/lEQD7Sl0l3
👉 En anglais: https://t.co/HpynlQ6QQO

Plus d'informations sur https://t.co/3B5hCMGKyx",1.4204E+18,[],2021-07-28 15:45:33 Morocco Daylight Time,,,
1.42143E+18,1.42143E+18,2021-07-31 12:02:07 Morocco Daylight Time,7/31/2021,12:02:07 PM,100,723579960,dtouchent,Dahmene Touchent,,"RT @dzonline: Taux de vaccination anti #Covid , le #Maroc largement devant l' #Algérie !  https://t.co/SSH0ziD6ap",fr,"[{'screen_name': 'dzonline', 'name': 'dzonline - algérie - الجزائر - ⴷⵣⴰⵢⴻⵔ', 'id': '25677623'}]",[],['https://pbs.twimg.com/media/E7kuIaXX0AItjjd.jpg'],0,8,0,"['covid', 'maroc', 'algérie']",[],https://twitter.com/dtouchent/status/1421425940123594753,TRUE,,1,https://pbs.twimg.com/media/E7kuIaXX0AItjjd.jpg,,,,25677623,"Taux de vaccination anti #Covid , le #Maroc largement devant l' #Algérie ! https://t.co/SSH0ziD6ap",1.42122E+18,[],2021-07-30 22:15:22 Morocco Daylight Time,,,
