id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.42661E+18,1.42661E+18,2021-08-14 19:11:46 Morocco Daylight Time,8/14/2021,7:11:46 PM,100,1.37696E+18,imorocco__shots,مــرآة المملكــة المــغربيـة الــساحـرة 🇲🇦,,"RT @oumyehia: When #COVID19 is an old story, we will all need this....#MoroccanTea in the garden #Maroc #Morocco",en,"[{'screen_name': 'oumyehia', 'name': 'drmimi/getvaccinatednow/shoukran.thanks.merci', 'id': '706371686'}]",[],[],0,1,0,"['covid19', 'moroccantea', 'maroc', 'morocco']",[],https://twitter.com/iMOROCCO__ShotS/status/1426607496320503809,TRUE,https://twitter.com/iMOROCCO__ShotS/status/1426214434054230016,0,,,,,706371686,"When #COVID19 is an old story, we will all need this....#MoroccanTea in the garden #Maroc #Morocco",1.4266E+18,[],2021-08-14 18:28:20 Morocco Daylight Time,,,
1.42661E+18,1.42661E+18,2021-08-14 19:09:47 Morocco Daylight Time,8/14/2021,7:09:47 PM,100,1.10286E+18,mohameddemahom3,mohamed demahom,,RT @ObservAlgerie: Le Maroc va vacciner avec Pfizer : Un vaccin reconnu partout en Europe Lire l'article 👉  https://t.co/ly2qwk1uif  #Maroc…,fr,"[{'screen_name': 'observalgerie', 'name': 'observalgérie', 'id': '782934172243492864'}]",['https://observalgerie.com/2021/08/14/societe/le-maroc-va-vacciner-avec-pfizer-un-vaccin-reconnu-partout-en-europe/'],[],0,1,0,['maroc'],[],https://twitter.com/mohameddemahom3/status/1426606994039902209,TRUE,,0,,,,,7.82934E+17,"Le Maroc va vacciner avec Pfizer : Un vaccin reconnu partout en Europe
Lire l'article 👉 https://t.co/ly2qwk1uif

#Maroc #Vaccin #COVID19 #Pfizer https://t.co/5mGvLtmIcR",1.4266E+18,[],2021-08-14 18:58:55 Morocco Daylight Time,,,
1.42661E+18,1.42661E+18,2021-08-14 19:03:00 Morocco Daylight Time,8/14/2021,7:03:00 PM,100,51709047,adilux,Adilux 🤘🏻,,RT @Artistic_LH: +10.240 de cas +110 de décès 11% de cas actifs (connus) 22.63% de taux de positivité 2242 de cas critiques 52% de taux d'o…,fr,"[{'screen_name': 'artistic_lh', 'name': '𝔻𝕣. 𝕚-fʟᴏʏᴅ ✨', 'id': '924006193286217728'}]",[],[],0,2,0,[],[],https://twitter.com/Adilux/status/1426605287738388481,TRUE,,0,,,,,9.24006E+17,"+10.240 de cas
+110 de décès
11% de cas actifs (connus)
22.63% de taux de positivité
2242 de cas critiques
52% de taux d'occupation des lits de réanimation #COVID19  #Maroc",1.42659E+18,[],2021-08-14 17:49:26 Morocco Daylight Time,,,
1.42659E+18,1.42659E+18,2021-08-14 17:52:29 Morocco Daylight Time,8/14/2021,5:52:29 PM,100,7.40127E+17,casakhasra,Casakhasra,,RT @Artistic_LH: +10.240 de cas +110 de décès 11% de cas actifs (connus) 22.63% de taux de positivité 2242 de cas critiques 52% de taux d'o…,fr,"[{'screen_name': 'artistic_lh', 'name': '𝔻𝕣. 𝕚-fʟᴏʏᴅ ✨', 'id': '924006193286217728'}]",[],[],0,2,0,[],[],https://twitter.com/casakhasra/status/1426587541973647368,TRUE,,0,,,,,9.24006E+17,"+10.240 de cas
+110 de décès
11% de cas actifs (connus)
22.63% de taux de positivité
2242 de cas critiques
52% de taux d'occupation des lits de réanimation #COVID19  #Maroc",1.42659E+18,[],2021-08-14 17:49:26 Morocco Daylight Time,,,
1.42654E+18,1.42654E+18,2021-08-14 14:46:57 Morocco Daylight Time,8/14/2021,2:46:57 PM,100,1.15023E+18,josephernesto16,Joseph Aroga,,RT @alejojohnson: Morocco 🇲🇦 Reinforces Vaccine Campaign with Pfizer-BioNTech Vaccinations 💉 💉 💉  #Morocco #Maroc #المغرب #Africa #NorthAfr…,en,"[{'screen_name': 'alejojohnson', 'name': 'alejo johnson', 'id': '200743587'}]",[],[],0,1,0,"['morocco', 'maroc', 'المغرب', 'africa']",[],https://twitter.com/JosephErnesto16/status/1426540853103939588,TRUE,,0,,,,,200743587,"Morocco 🇲🇦 Reinforces Vaccine Campaign with Pfizer-BioNTech Vaccinations 💉 💉 💉 
#Morocco #Maroc #المغرب #Africa #NorthAfrica #COVID #COVID19 #pandemic #vaccine #vaccination #Pfizer @pfizer https://t.co/k8mQ1J9ATP",1.42649E+18,[],2021-08-14 11:28:19 Morocco Daylight Time,,,
1.42653E+18,1.42653E+18,2021-08-14 14:19:00 Morocco Daylight Time,8/14/2021,2:19:00 PM,100,3043331595,marocamar,Ali Amar,,RT @LeDesk_ma: La campagne de vaccination élargie aux jeunes âgés de 18 ans et plus (Officiel)  https://t.co/MGRRx7S8tk via @LeDesk_ma #LeDe…,fr,"[{'screen_name': 'ledesk_ma', 'name': 'le desk', 'id': '2994407410'}, {'screen_name': 'ledesk_ma', 'name': 'le desk', 'id': '2994407410'}]",['https://ledesk.ma/encontinu/la-campagne-de-vaccination-elargie-aux-jeunes-ages-de-18-ans-et-plus-officiel/'],[],0,2,0,[],[],https://twitter.com/MarocAmar/status/1426533817112743939,TRUE,,0,,,,,2994407410,La campagne de vaccination élargie aux jeunes âgés de 18 ans et plus (Officiel) https://t.co/MGRRx7S8tk via @LeDesk_ma #LeDesk #Maroc #Covid19,1.42646E+18,[],2021-08-14 09:39:57 Morocco Daylight Time,,,
1.42652E+18,1.42652E+18,2021-08-14 13:42:22 Morocco Daylight Time,8/14/2021,1:42:22 PM,100,1.0056E+18,will_rixis,rixis,,"RT @RNational_IDF: 🇹🇳 Aide de 100 000 euros en faveur de la Tunisie suite à la crise #COVID19 : ""La Tunisie est un pays ami. Nous souffrons…",fr,"[{'screen_name': 'rnational_idf', 'name': 'rn île-de-france', 'id': '4821062745'}]",[],[],0,16,0,['covid19'],[],https://twitter.com/will_rixis/status/1426524598577860619,TRUE,,0,,,,,4821062745,"🇹🇳 Aide de 100 000 euros en faveur de la Tunisie suite à la crise #COVID19 : ""La Tunisie est un pays ami. Nous souffrons beaucoup de voir l'Algérie, la Tunisie, le Maroc dans des situations extrêmement difficiles."" @wdesaintjust

#DirectIDF https://t.co/B6PU9HySps",1.41814E+18,[],2021-07-22 10:31:36 Morocco Daylight Time,,,
1.42652E+18,1.42652E+18,2021-08-14 13:05:23 Morocco Daylight Time,8/14/2021,1:05:23 PM,100,3195088127,zakariael94,Zakaria El Berrah,,RT @Ministere_Sante: النشرة  اليومية لنتائج الرصد الوبائي لكوفيد 19  https://t.co/8ZvNEajKUn #grippe #vaccins #نبقاو_على_بال #maroc #نخرجو_ب…,ar,"[{'screen_name': 'ministere_sante', 'name': 'ministère-santé-maroc ministry of health morocco', 'id': '2683723274'}]",['https://bit.ly/2VVeTL5'],[],0,5,0,"['grippe', 'vaccins', 'نبقاو_على_بال', 'maroc']",[],https://twitter.com/ZakariaEl94/status/1426515292264357896,TRUE,,0,,,,,2683723274,"النشرة  اليومية لنتائج الرصد الوبائي لكوفيد 19
https://t.co/8ZvNEajKUn
#grippe #vaccins #نبقاو_على_بال #maroc #نخرجو_بأمان #وقايتنا #COVID19 https://t.co/N2DZxh4da4",1.42621E+18,[],2021-08-13 16:59:38 Morocco Daylight Time,,,
1.42649E+18,1.42649E+18,2021-08-14 11:26:57 Morocco Daylight Time,8/14/2021,11:26:57 AM,100,8.27853E+17,lakhdarabdelila,عبدالإله لخضر,,"RT @DcpEnsSup: توسيع الفئة المستهدفة بالتلقيح ضد كوفيد 19 لتشمل الفئة العمرية ""18 سنة فما فوق"". #التعليم_العالي #البحث_العلمي #كورونا #المغ…",ar,"[{'screen_name': 'dcpenssup', 'name': 'direction de la coopération et du partenariat', 'id': '1143114554601291776'}]",[],[],0,1,0,"['التعليم_العالي', 'البحث_العلمي', 'كورونا']",[],https://twitter.com/LakhdarAbdelila/status/1426490520893861890,TRUE,,0,,,,,1.14311E+18,"توسيع الفئة المستهدفة بالتلقيح ضد كوفيد 19 لتشمل الفئة العمرية ""18 سنة فما فوق"".
#التعليم_العالي #البحث_العلمي #كورونا #المغرب
#DCP #EnseignementSupérieur #RechercheScientifique #CoronaVirus #Covid19 #Maroc https://t.co/U5eNzXUrdb",1.42649E+18,[],2021-08-14 11:11:19 Morocco Daylight Time,,,
1.42647E+18,1.42647E+18,2021-08-14 10:23:44 Morocco Daylight Time,8/14/2021,10:23:44 AM,100,414710036,kmoutaib,Kawthar Moutaïb 🇲🇦,,RT @LeDesk_ma: La campagne de vaccination élargie aux jeunes âgés de 18 ans et plus (Officiel)  https://t.co/MGRRx7S8tk via @LeDesk_ma #LeDe…,fr,"[{'screen_name': 'ledesk_ma', 'name': 'le desk', 'id': '2994407410'}, {'screen_name': 'ledesk_ma', 'name': 'le desk', 'id': '2994407410'}]",['https://ledesk.ma/encontinu/la-campagne-de-vaccination-elargie-aux-jeunes-ages-de-18-ans-et-plus-officiel/'],[],0,2,0,[],[],https://twitter.com/kmoutaib/status/1426474610997014530,TRUE,,0,,,,,2994407410,La campagne de vaccination élargie aux jeunes âgés de 18 ans et plus (Officiel) https://t.co/MGRRx7S8tk via @LeDesk_ma #LeDesk #Maroc #Covid19,1.42646E+18,[],2021-08-14 09:39:57 Morocco Daylight Time,,,
